Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Inventory_Level,System_Count,Physical_Count,Variance,Defect_Flag,Shrink_Flag,Accuracy_Flag,Severity,Supplier_Lead_Time_Days,Reorder_Point,Units_Sold,Order_Quantity,Unit_Cost,Unit_Price,Demand_Forecast,Promotion_Flag,YearMonth,Week,Quarter
2024-03-21,SKU_1,WH_1,SUP_8,North,364,364,364,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,22.16,0,2024-03,12,1
2024-03-22,SKU_1,WH_1,SUP_8,North,584,584,584,0,0,0,Accurate,Accurate,14,379,26,246,13.95,20.48,25.21,0,2024-03,12,1
2024-03-23,SKU_1,WH_1,SUP_8,South,557,557,557,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,30.29,0,2024-03,12,1
2024-03-24,SKU_1,WH_1,SUP_8,North,519,519,519,0,0,0,Accurate,Accurate,14,379,38,0,13.95,20.48,33.71,0,2024-03,12,1
2024-03-25,SKU_1,WH_1,SUP_8,West,490,490,490,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,31.27,0,2024-03,13,1
2024-03-26,SKU_1,WH_1,SUP_8,West,462,462,462,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,28.18,0,2024-03,13,1
2024-03-27,SKU_1,WH_1,SUP_8,East,429,429,429,0,0,0,Accurate,Accurate,14,379,33,0,13.95,20.48,36.1,0,2024-03,13,1
2024-03-28,SKU_1,WH_1,SUP_8,North,389,389,389,0,0,0,Accurate,Accurate,14,379,40,0,13.95,20.48,34.14,0,2024-03,13,1
2024-03-29,SKU_1,WH_1,SUP_8,East,357,357,357,0,0,0,Accurate,Accurate,14,379,32,0,13.95,20.48,35.18,0,2024-03,13,1
2024-03-30,SKU_1,WH_1,SUP_8,North,793,793,793,0,0,0,Accurate,Accurate,14,379,27,463,13.95,20.48,27.62,0,2024-03,13,1
2024-03-31,SKU_1,WH_1,SUP_8,North,767,767,767,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,24.93,0,2024-03,13,1
2024-04-01,SKU_1,WH_1,SUP_8,West,735,735,735,0,0,0,Accurate,Accurate,14,379,32,0,13.95,20.48,31.76,0,2024-04,14,2
2024-04-02,SKU_1,WH_1,SUP_8,North,702,702,702,0,0,0,Accurate,Accurate,14,379,33,0,13.95,20.48,34.83,0,2024-04,14,2
2024-04-03,SKU_1,WH_1,SUP_8,West,674,674,674,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,26.36,0,2024-04,14,2
2024-04-04,SKU_1,WH_1,SUP_8,North,637,637,637,0,0,0,Accurate,Accurate,14,379,37,0,13.95,20.48,35.68,0,2024-04,14,2
2024-04-05,SKU_1,WH_1,SUP_8,West,604,604,604,0,0,0,Accurate,Accurate,14,379,33,0,13.95,20.48,26.24,0,2024-04,14,2
2024-04-06,SKU_1,WH_1,SUP_8,North,571,571,571,0,0,0,Accurate,Accurate,14,379,33,0,13.95,20.48,32.07,0,2024-04,14,2
2024-04-07,SKU_1,WH_1,SUP_8,East,540,540,540,0,0,0,Accurate,Accurate,14,379,31,0,13.95,20.48,30.63,0,2024-04,14,2
2024-04-08,SKU_1,WH_1,SUP_8,North,490,490,476,-14,1,1,Inaccurate,Moderate,14,379,50,0,13.95,20.48,53.2,1,2024-04,15,2
2024-04-09,SKU_1,WH_1,SUP_8,North,455,455,455,0,0,0,Accurate,Accurate,14,379,35,0,13.95,20.48,41.43,0,2024-04,15,2
2024-04-10,SKU_1,WH_1,SUP_8,North,423,423,410,-13,1,1,Inaccurate,Moderate,14,379,32,0,13.95,20.48,33.89,0,2024-04,15,2
2024-04-11,SKU_1,WH_1,SUP_8,East,374,374,374,0,0,0,Accurate,Accurate,14,379,49,0,13.95,20.48,50.21,1,2024-04,15,2
2024-04-12,SKU_1,WH_1,SUP_8,South,794,794,794,0,0,0,Accurate,Accurate,14,379,32,452,13.95,20.48,36.07,0,2024-04,15,2
2024-04-13,SKU_1,WH_1,SUP_8,South,767,767,767,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,27.61,0,2024-04,15,2
2024-04-14,SKU_1,WH_1,SUP_8,South,738,738,738,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,25.47,0,2024-04,15,2
2024-04-15,SKU_1,WH_1,SUP_8,West,710,710,710,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,23.78,1,2024-04,16,2
2024-04-16,SKU_1,WH_1,SUP_8,West,680,680,680,0,0,0,Accurate,Accurate,14,379,30,0,13.95,20.48,32.48,0,2024-04,16,2
2024-04-17,SKU_1,WH_1,SUP_8,South,661,661,661,0,0,0,Accurate,Accurate,14,379,19,0,13.95,20.48,23.71,0,2024-04,16,2
2024-04-18,SKU_1,WH_1,SUP_8,South,640,640,640,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,19.73,0,2024-04,16,2
2024-04-19,SKU_1,WH_1,SUP_8,North,609,609,609,0,0,0,Accurate,Accurate,14,379,31,0,13.95,20.48,28.52,0,2024-04,16,2
2024-04-20,SKU_1,WH_1,SUP_8,West,583,583,583,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,21.74,0,2024-04,16,2
2024-04-21,SKU_1,WH_1,SUP_8,South,556,556,556,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,28.37,0,2024-04,16,2
2024-04-22,SKU_1,WH_1,SUP_8,East,527,527,527,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,30.17,0,2024-04,17,2
2024-04-23,SKU_1,WH_1,SUP_8,North,497,497,497,0,0,0,Accurate,Accurate,14,379,30,0,13.95,20.48,30.04,0,2024-04,17,2
2024-04-24,SKU_1,WH_1,SUP_8,East,471,471,471,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,26.65,0,2024-04,17,2
2024-04-25,SKU_1,WH_1,SUP_8,North,445,445,445,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,31.58,0,2024-04,17,2
2024-04-26,SKU_1,WH_1,SUP_8,East,409,409,409,0,0,0,Accurate,Accurate,14,379,36,0,13.95,20.48,33.89,0,2024-04,17,2
2024-04-27,SKU_1,WH_1,SUP_8,West,370,370,370,0,0,0,Accurate,Accurate,14,379,39,0,13.95,20.48,36.58,0,2024-04,17,2
2024-04-28,SKU_1,WH_1,SUP_8,West,725,725,725,0,0,0,Accurate,Accurate,14,379,22,377,13.95,20.48,26.77,0,2024-04,17,2
2024-04-29,SKU_1,WH_1,SUP_8,North,695,695,695,0,0,0,Accurate,Accurate,14,379,30,0,13.95,20.48,35.63,0,2024-04,18,2
2024-04-30,SKU_1,WH_1,SUP_8,North,674,674,674,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,23.04,0,2024-04,18,2
2024-05-01,SKU_1,WH_1,SUP_8,South,633,633,633,0,0,0,Accurate,Accurate,14,379,41,0,13.95,20.48,45.43,1,2024-05,18,2
2024-05-02,SKU_1,WH_1,SUP_8,North,604,604,604,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,32.11,0,2024-05,18,2
2024-05-03,SKU_1,WH_1,SUP_8,West,570,570,570,0,0,0,Accurate,Accurate,14,379,34,0,13.95,20.48,32.59,0,2024-05,18,2
2024-05-04,SKU_1,WH_1,SUP_8,North,525,525,525,0,0,0,Accurate,Accurate,14,379,45,0,13.95,20.48,42.97,1,2024-05,18,2
2024-05-05,SKU_1,WH_1,SUP_8,South,488,488,488,0,0,0,Accurate,Accurate,14,379,37,0,13.95,20.48,37.84,1,2024-05,18,2
2024-05-06,SKU_1,WH_1,SUP_8,North,459,459,459,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,27.55,0,2024-05,19,2
2024-05-07,SKU_1,WH_1,SUP_8,North,423,423,423,0,0,0,Accurate,Accurate,14,379,36,0,13.95,20.48,36.14,1,2024-05,19,2
2024-05-08,SKU_1,WH_1,SUP_8,North,399,399,400,1,0,0,Inaccurate,Minor,14,379,24,0,13.95,20.48,28.07,0,2024-05,19,2
2024-05-09,SKU_1,WH_1,SUP_8,North,378,378,378,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,22.61,0,2024-05,19,2
2024-05-10,SKU_1,WH_1,SUP_8,East,668,668,668,0,0,0,Accurate,Accurate,14,379,27,317,13.95,20.48,25.72,0,2024-05,19,2
2024-05-11,SKU_1,WH_1,SUP_8,North,640,640,640,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,31.46,0,2024-05,19,2
2024-05-12,SKU_1,WH_1,SUP_8,East,611,611,611,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,33.03,0,2024-05,19,2
2024-05-13,SKU_1,WH_1,SUP_8,South,581,581,581,0,0,0,Accurate,Accurate,14,379,30,0,13.95,20.48,34.11,0,2024-05,20,2
2024-05-14,SKU_1,WH_1,SUP_8,South,553,553,553,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,30.41,0,2024-05,20,2
2024-05-15,SKU_1,WH_1,SUP_8,East,535,535,535,0,0,0,Accurate,Accurate,14,379,18,0,13.95,20.48,22.33,0,2024-05,20,2
2024-05-16,SKU_1,WH_1,SUP_8,North,507,507,507,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,33.16,0,2024-05,20,2
2024-05-17,SKU_1,WH_1,SUP_8,East,472,472,472,0,0,0,Accurate,Accurate,14,379,35,0,13.95,20.48,30.86,0,2024-05,20,2
2024-05-18,SKU_1,WH_1,SUP_8,North,447,447,447,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,29.26,0,2024-05,20,2
2024-05-19,SKU_1,WH_1,SUP_8,South,422,422,422,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,20.01,0,2024-05,20,2
2024-05-20,SKU_1,WH_1,SUP_8,East,402,402,402,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,18.19,0,2024-05,21,2
2024-05-21,SKU_1,WH_1,SUP_8,West,374,374,374,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,25.18,0,2024-05,21,2
2024-05-22,SKU_1,WH_1,SUP_8,North,697,697,697,0,0,0,Accurate,Accurate,14,379,31,354,13.95,20.48,30.29,0,2024-05,21,2
2024-05-23,SKU_1,WH_1,SUP_8,North,673,673,673,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,25.51,1,2024-05,21,2
2024-05-24,SKU_1,WH_1,SUP_8,North,652,652,652,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,19.32,0,2024-05,21,2
2024-05-25,SKU_1,WH_1,SUP_8,South,637,637,650,13,1,0,Inaccurate,Moderate,14,379,15,0,13.95,20.48,16.54,0,2024-05,21,2
2024-05-26,SKU_1,WH_1,SUP_8,North,602,602,602,0,0,0,Accurate,Accurate,14,379,35,0,13.95,20.48,35.11,0,2024-05,21,2
2024-05-27,SKU_1,WH_1,SUP_8,West,567,567,567,0,0,0,Accurate,Accurate,14,379,35,0,13.95,20.48,34.41,0,2024-05,22,2
2024-05-28,SKU_1,WH_1,SUP_8,North,538,538,538,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,27.14,0,2024-05,22,2
2024-05-29,SKU_1,WH_1,SUP_8,West,513,513,513,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,25.95,0,2024-05,22,2
2024-05-30,SKU_1,WH_1,SUP_8,West,496,496,496,0,0,0,Accurate,Accurate,14,379,17,0,13.95,20.48,21.1,0,2024-05,22,2
2024-05-31,SKU_1,WH_1,SUP_8,East,469,469,469,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,24.65,0,2024-05,22,2
2024-06-01,SKU_1,WH_1,SUP_8,South,449,449,449,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,20.24,0,2024-06,22,2
2024-06-02,SKU_1,WH_1,SUP_8,East,429,429,429,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,19.32,0,2024-06,22,2
2024-06-03,SKU_1,WH_1,SUP_8,West,408,408,408,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,17.76,0,2024-06,23,2
2024-06-04,SKU_1,WH_1,SUP_8,South,386,386,386,0,0,0,Accurate,Accurate,14,379,22,0,13.95,20.48,15.67,0,2024-06,23,2
2024-06-05,SKU_1,WH_1,SUP_8,East,367,367,367,0,0,0,Accurate,Accurate,14,379,19,0,13.95,20.48,18.99,0,2024-06,23,2
2024-06-06,SKU_1,WH_1,SUP_8,East,768,768,768,0,0,0,Accurate,Accurate,14,379,34,435,13.95,20.48,38.17,0,2024-06,23,2
2024-06-07,SKU_1,WH_1,SUP_8,West,741,741,741,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,26.13,0,2024-06,23,2
2024-06-08,SKU_1,WH_1,SUP_8,South,725,725,725,0,0,0,Accurate,Accurate,14,379,16,0,13.95,20.48,17.69,0,2024-06,23,2
2024-06-09,SKU_1,WH_1,SUP_8,South,703,703,703,0,0,0,Accurate,Accurate,14,379,22,0,13.95,20.48,15.17,0,2024-06,23,2
2024-06-10,SKU_1,WH_1,SUP_8,East,684,684,684,0,0,0,Accurate,Accurate,14,379,19,0,13.95,20.48,17.36,0,2024-06,24,2
2024-06-11,SKU_1,WH_1,SUP_8,East,660,660,660,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,26.72,0,2024-06,24,2
2024-06-12,SKU_1,WH_1,SUP_8,West,640,640,640,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,22.27,0,2024-06,24,2
2024-06-13,SKU_1,WH_1,SUP_8,East,615,615,615,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,27.5,0,2024-06,24,2
2024-06-14,SKU_1,WH_1,SUP_8,South,588,588,588,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,24.71,0,2024-06,24,2
2024-06-15,SKU_1,WH_1,SUP_8,West,565,565,565,0,0,0,Accurate,Accurate,14,379,23,0,13.95,20.48,24.92,1,2024-06,24,2
2024-06-16,SKU_1,WH_1,SUP_8,West,542,542,542,0,0,0,Accurate,Accurate,14,379,23,0,13.95,20.48,20.29,0,2024-06,24,2
2024-06-17,SKU_1,WH_1,SUP_8,North,516,516,498,-18,1,1,Inaccurate,Critical,14,379,26,0,13.95,20.48,26.03,0,2024-06,25,2
2024-06-18,SKU_1,WH_1,SUP_8,South,495,495,495,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,19.78,0,2024-06,25,2
2024-06-19,SKU_1,WH_1,SUP_8,West,481,481,481,0,0,0,Accurate,Accurate,14,379,14,0,13.95,20.48,14.69,0,2024-06,25,2
2024-06-20,SKU_1,WH_1,SUP_8,North,456,456,441,-15,1,1,Inaccurate,Moderate,14,379,25,0,13.95,20.48,21.61,0,2024-06,25,2
